cohort,endpoint,dataset,size,method,paper_id,metric,direction,mean,std,split,protocol,source,source_kind,source_location,checked_on,rank
tdc-collected-six-19-v1,Caco-2,Caco2_Wang,906,MolE,mole-2024,MAE,lower,0.329,0.008,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,4.0
tdc-collected-six-19-v1,Caco-2,Caco2_Wang,906,KPGT,kpgt-2023,MAE,lower,0.284,0.009,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,2.0
tdc-collected-six-19-v1,Caco-2,Caco2_Wang,906,MapLight,maplight-2023,MAE,lower,0.276,0.005,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/01caco2/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,Caco-2,Caco2_Wang,906,MapLight + GNN,maplight-2023,MAE,lower,0.287,0.005,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/01caco2/,leaderboard,TDC leaderboard,2026-09-22,3.0
tdc-collected-six-19-v1,Caco-2,Caco2_Wang,906,Chemprop-RDKit,chemprop-dmpnn-2019,MAE,lower,0.33,0.024,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/01caco2/,leaderboard,TDC leaderboard,2026-09-22,5.0
tdc-collected-six-19-v1,Caco-2,Caco2_Wang,906,AttentiveFP,attentivefp-2019,MAE,lower,0.401,0.032,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/01caco2/,leaderboard,TDC leaderboard,2026-09-22,6.0
tdc-collected-six-19-v1,HIA,HIA_Hou,578,MolE,mole-2024,AUROC,higher,0.984,0.005,TDC scaffold; 20% held-out test,tdc-admet-group,https://www.nature.com/articles/s41467-024-53751-y/tables/1,paper,Table 1,2026-09-22,3.0
tdc-collected-six-19-v1,HIA,HIA_Hou,578,KPGT,kpgt-2023,AUROC,higher,0.982,0.004,TDC scaffold; 20% held-out test,tdc-admet-group,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-023-43214-1/MediaObjects/41467_2023_43214_MOESM1_ESM.pdf,paper,Supplementary Table 8,2026-09-22,4.0
tdc-collected-six-19-v1,HIA,HIA_Hou,578,MapLight,maplight-2023,AUROC,higher,0.986,0.0,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/02hia/,leaderboard,TDC leaderboard,2026-09-22,2.0
tdc-collected-six-19-v1,HIA,HIA_Hou,578,MapLight + GNN,maplight-2023,AUROC,higher,0.989,0.001,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/02hia/,leaderboard,TDC leaderboard,2026-09-22,1.0
tdc-collected-six-19-v1,HIA,HIA_Hou,578,Chemprop-RDKit,chemprop-dmpnn-2019,AUROC,higher,0.981,0.002,TDC scaffold; 20% held-out test,tdc-admet-group,https://tdcommons.ai/benchmark/admet_group/02hia/,leaderboard,TDC leaderboard,2026-09-22,5.0
